bvid,status,message
BV1uYLyzYE6w,SKIP,already downloaded
BV1NsMnzKEPg,SKIP,already downloaded
BV1MGM8zKERX,SKIP,already downloaded
BV1S5TxzWE2w,SKIP,already downloaded
BV1XFJaz3E76,SKIP,already downloaded
BV1DEMizsE8Z,SKIP,already downloaded
BV15bMvzfEqW,SKIP,already downloaded
BV1WYdfYDE5m,SKIP,already downloaded
BV1UM4m1X7bS,SKIP,already downloaded
BV1mDmyYYEai,SKIP,already downloaded
BV1qhjmzsEJA,SKIP,already downloaded
BV1htNvzUE6A,SKIP,already downloaded
BV1uTTYzVEjr,SKIP,already downloaded
BV1NzTozBEs1,SKIP,already downloaded
BV17DNhz7EHx,SKIP,already downloaded
BV1a2MuzHERY,SKIP,already downloaded
BV1diMDzuEW4,SKIP,already downloaded
BV1kAMbzpEHM,SKIP,already downloaded
BV1h5MmzoESM,SKIP,already downloaded
BV12G411c7ma,SKIP,already downloaded
BV1aFMzzNEM4,SKIP,already downloaded
BV1S6MUzZE2b,SKIP,already downloaded
BV1ky411e7yG,SKIP,already downloaded
BV1jaMNzLEjh,SKIP,already downloaded
BV19ETezXEkJ,SKIP,already downloaded
BV1cJSRYpEAE,SKIP,already downloaded
BV1uCMAzFEgw,SKIP,already downloaded
BV112MWzmEoL,SKIP,already downloaded
BV1iAM3zbEqV,SKIP,already downloaded
BV1D39hY5EtH,SKIP,already downloaded
BV1yq4pecE1U,SKIP,already downloaded
BV1qi42127Hw,SKIP,already downloaded
BV1at4y1o7mf,SKIP,already downloaded
BV1vWWJeaEMe,SKIP,already downloaded
BV1mLMuzkEdM,SKIP,already downloaded
BV1hT421a7pR,SKIP,already downloaded
BV1D6JEziEoL,SKIP,already downloaded
BV1KiRiY4E2s,SKIP,already downloaded
BV1yyGqzcEfx,SKIP,already downloaded
BV19fE4zaEQx,SKIP,already downloaded
BV1oHNqzhEtF,SKIP,already downloaded
BV16oNqzqEoG,SKIP,already downloaded
BV1PtJ4zmEbz,SKIP,already downloaded
BV1FCTXzJEeh,SKIP,already downloaded
BV1HG411i718,SKIP,already downloaded
BV19WjtztE2E,SKIP,already downloaded
BV1KkRBYcEv6,SKIP,already downloaded
BV1bDftYUEEm,SKIP,already downloaded
BV1Cjw2evEfL,SKIP,already downloaded
BV1BH6BYyEHf,SKIP,already downloaded
BV11BTVzJEii,SKIP,already downloaded
BV1sQ6MYrEMy,SKIP,already downloaded
BV1qKMVzNETS,SKIP,already downloaded
BV1kJMzzHEae,SKIP,already downloaded
BV1e4VRz8EzW,SKIP,already downloaded
BV1WSMgzuE4f,SKIP,already downloaded
BV1B6MezaEBS,SKIP,already downloaded
BV16s4y1F73v,SKIP,already downloaded
BV1YoRnYoEZc,SKIP,already downloaded
BV1agVkzXEEA,SKIP,already downloaded
BV11qM6zZEHU,SKIP,already downloaded
BV1TwNqzLE27,SKIP,already downloaded
BV1Qm7GzSEcb,SKIP,already downloaded
BV1nUjAzNEGA,SKIP,already downloaded
BV1ZY4y1r7vP,SKIP,already downloaded
BV146JxzSEUE,SKIP,already downloaded
BV1YCGRzREno,SKIP,already downloaded
BV1rp421976y,SKIP,already downloaded
BV1GcT2z9EQj,SKIP,already downloaded
BV1qnNqzwEDz,SKIP,already downloaded
BV1eB4y147ud,SKIP,already downloaded
BV1UkTMz3E2b,SKIP,already downloaded
BV1BENqzYENL,SKIP,already downloaded
BV1EHNqzaECV,SKIP,already downloaded
BV1geMcztEdD,SKIP,already downloaded
BV1fC4y1J7hN,SKIP,already downloaded
BV1zT411F7Rr,SKIP,already downloaded
BV1j6MuzxEEH,SKIP,already downloaded
BV12eGYzHEPd,SKIP,already downloaded
BV1WjMzzWEho,SKIP,already downloaded
BV16oNqzqEHy,SKIP,already downloaded
BV1T6Tiz7EVP,SKIP,already downloaded
BV1hKMuzUEWY,SKIP,already downloaded
BV1YdhmefEM8,SKIP,already downloaded
BV1Q1421D7f9,SKIP,already downloaded
BV1vm4y1J7Ff,SKIP,already downloaded
BV1r17azXEWw,SKIP,already downloaded
BV1xYTCzNENV,SKIP,already downloaded
BV1qHMcziECN,SKIP,already downloaded
BV1jhXrYEEMQ,SKIP,already downloaded
BV1UXNezkE6N,SKIP,already downloaded
BV1UR4zeXEoc,SKIP,already downloaded
BV1GtTizxEUb,SKIP,already downloaded
BV1pnyUYfEGK,SKIP,already downloaded
BV1TU4y1S7GU,SKIP,already downloaded
BV1cGNqzBEa1,SKIP,already downloaded
BV1HsTvzBEb1,SKIP,already downloaded
BV1K7MuzGEti,SKIP,already downloaded
BV1bgMTzMEuf,SKIP,already downloaded
BV1qjTVzeErK,SKIP,already downloaded
BV1qnMczTEEt,SKIP,already downloaded
BV1ziMFzTEPW,SKIP,already downloaded
BV1WuMvzkEXk,SKIP,already downloaded
BV1f2TXzjEM8,SKIP,already downloaded
BV1Rb421n7Cd,SKIP,already downloaded
BV1CQV3zWE61,SKIP,already downloaded
BV1w5mKYyEL8,SKIP,already downloaded
BV1AaMwzUEkS,SKIP,already downloaded
BV1UrT6zwEXq,SKIP,already downloaded
BV1fQTszuEQN,SKIP,already downloaded
BV1qGMJzsEfg,SKIP,already downloaded
BV155MSziEJo,SKIP,already downloaded
BV1B9MMzoErW,SKIP,already downloaded
BV1WXNqzgENe,SKIP,already downloaded
BV133NizJE5K,SKIP,already downloaded
BV144MmzUEqK,SKIP,already downloaded
BV1jLMbz5Ecf,SKIP,already downloaded
BV14rNqzmEgQ,SKIP,already downloaded
BV1zUTRz9EkP,SKIP,already downloaded
BV1oWT7zLEx7,SKIP,already downloaded
BV1RDMizYELv,SKIP,already downloaded
BV12ZMTzKEwt,SKIP,already downloaded
BV1eCTxzeEJj,SKIP,already downloaded
BV18DM8zuEjt,SKIP,already downloaded
BV1LuNBzbEu2,SKIP,already downloaded
BV12tMizEEeN,SKIP,already downloaded
BV1Mt4y1k72j,SKIP,already downloaded
BV1frERzmEna,SKIP,already downloaded
BV1TbMBz4ELJ,SKIP,already downloaded
BV1PRMqzSEpE,SKIP,already downloaded
BV1wuMgziEbG,SKIP,already downloaded
BV1jyM3zhE1d,SKIP,already downloaded
BV1cwEizYEZJ,SKIP,already downloaded
BV1Z319YPEh7,SKIP,already downloaded
BV1Em4y1g7vJ,SKIP,already downloaded
BV1CRMUzEEmr,SKIP,already downloaded
BV1WmNqzCE2Z,SKIP,already downloaded
BV1Sb411s7ge,SKIP,already downloaded
BV1UYjxzCEpj,SKIP,already downloaded
BV15yMnzpEmo,SKIP,already downloaded
BV1SqMczxEY2,SKIP,already downloaded
BV1YETuz2E36,SKIP,already downloaded
BV1gF76z4EQg,SKIP,already downloaded
BV17YTvzAEQw,SKIP,already downloaded
BV1tZ5jzUErg,SKIP,already downloaded
BV1sDNqzrEGt,SKIP,already downloaded
BV1XM4y1C7uu,SKIP,already downloaded
BV1kZ421T7R7,SKIP,already downloaded
BV1sSPpekEbD,SKIP,already downloaded
BV1ERToztEPJ,SKIP,already downloaded
BV13zJuzjEzy,SKIP,already downloaded
BV1bqNqznE1a,SKIP,already downloaded
BV1AyjjzLEyF,SKIP,already downloaded
BV1iiHPenEMJ,SKIP,already downloaded
BV1k3T7zWEyf,SKIP,already downloaded
BV1J4TkznEGq,SKIP,already downloaded
BV1NhM4zxE9N,SKIP,already downloaded
BV18vNqzQEAJ,SKIP,already downloaded
BV15CMuzWEvS,SKIP,already downloaded
BV161M6zpE2p,SKIP,already downloaded
BV1oQ4y1W71L,SKIP,already downloaded
BV1Ng4y1y7Yq,SKIP,already downloaded
BV1aAMuzDEdd,SKIP,already downloaded
BV1Kz4y1S7sJ,SKIP,already downloaded
BV19aNqz9EKq,SKIP,already downloaded
BV1ZTMPzkEMa,SKIP,already downloaded
BV1dFjKzvE9b,SKIP,already downloaded
BV1hgqNYwEq4,SKIP,already downloaded
BV12mM2zLEhz,SKIP,already downloaded
BV1HtMuzeEem,SKIP,already downloaded
BV1ARMAzQEU5,SKIP,already downloaded
BV1Q2TYz1E55,SKIP,already downloaded
BV16z9GYVEwH,SKIP,already downloaded
BV1kGNqzqELe,SKIP,already downloaded
BV1qiMaz4E9i,SKIP,already downloaded
BV1uTTdzrEwK,SKIP,already downloaded
BV1zcMmziEcJ,SKIP,already downloaded
BV1NWTjz4ESi,SKIP,already downloaded
BV1uoNizUEoP,SKIP,already downloaded
BV1kHMtznEMC,SKIP,already downloaded
BV1DeNqzpExd,SKIP,already downloaded
BV1Hdjuz9Ep2,SKIP,already downloaded
BV1HSNvzeEnP,SKIP,already downloaded
BV1YsoNYnEUc,SKIP,already downloaded
BV1HqMLzQEQq,SKIP,already downloaded
BV1uENBzpEGL,SKIP,already downloaded
BV1fEM2zKEQf,SKIP,already downloaded
BV189MFzRETa,SKIP,already downloaded
BV1LcMnzQEw8,SKIP,already downloaded
BV1WDNqzrEDS,SKIP,already downloaded
BV1ufNiz7EGc,SKIP,already downloaded
BV14rNqzmExQ,SKIP,already downloaded
BV1MjMnzrEvi,SKIP,already downloaded
BV19x4y167cp,SKIP,already downloaded
BV1C2TizGEor,SKIP,already downloaded
BV1myNqz1E5v,SKIP,already downloaded
BV1KKM2z5EhJ,SKIP,already downloaded
BV1r3NqzMEa6,SKIP,already downloaded
BV1uKN8zbEjT,SKIP,already downloaded
BV1ED4y1g7Ey,SKIP,already downloaded
BV1URNez3Edv,SKIP,already downloaded
BV1rGNvzfE3K,SKIP,already downloaded
BV1hvNqzQE8F,SKIP,already downloaded
BV1kdNqzMEtn,SKIP,already downloaded
BV1SatdeiEgY,SKIP,already downloaded
BV1eME3zHEjv,SKIP,already downloaded
BV1kXNqzgEED,SKIP,already downloaded
BV1rpMzzJEAc,SKIP,already downloaded
BV1SqMyz5Egv,SKIP,already downloaded
BV1xWTDzsEeP,SKIP,already downloaded
BV1AGNqzBEMv,SKIP,already downloaded
BV1HmTVzVEEN,SKIP,already downloaded
BV1vsNqzbEJZ,SKIP,already downloaded
BV1QbMgzQE7j,SKIP,already downloaded
BV1Q9NizSEEq,SKIP,already downloaded
BV11QT6zxE6B,SKIP,already downloaded
BV19bNqzdEw7,SKIP,already downloaded
BV1XhNqzsEEj,SKIP,already downloaded
BV1puMczyELu,SKIP,already downloaded
BV18dNizJETR,SKIP,already downloaded
BV1tVNazaExF,SKIP,already downloaded
BV1ehMAzMETp,SKIP,already downloaded
