bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV11nWEeyEwy,地表最强特工再次出山，再入血雨腥风探寻真相，经典动作电影系列《谍影重重第5部》,//i0.hdslb.com/bfs/archive/273eb1d80fc4c496042787e4f78c58da253bf6cc.jpg,1409,25801951,222659,385,黎叔聊电影,5945
BV1HEEqz6ERo,印度2025又一悬疑巨作，超万人直接给出了满分，真人出镜解说！,//i0.hdslb.com/bfs/archive/a5aa4f360facc8dc3cf2514ee276db3693ee49f6.jpg,1112,2872275,110462,184,猩猩点灯R,35801
BV1QqADehE2f,2025年最新科幻末日生存剧，一口气看完（极乐凶间,//i2.hdslb.com/bfs/archive/d73b62e2553ed849c50709c085783fc17cb32c00.jpg,1467,9843564,119610,142,樱木大喵,2275
BV13m42137UL,【周周怪】畸形审美的女性困局，一部不爽也不美的“萝莉复仇爽片”,//i0.hdslb.com/bfs/archive/bb7322ddc0ca48f860698e3430f3be580125cbe3.jpg,2777,28430691,1048126,9366,周周怪与哈基米,488523
BV1Gck3YcEJj,外星人仅用 8 小时就占领了地球，并将人类变成奴隶，用百米高的城墙围了起来。一口气看完科幻剧《殖民地》,//i0.hdslb.com/bfs/archive/f51b921db08f99e9290ae15b9016ea3b3472f131.jpg,1990,15796157,676987,919,科幻俱乐部,2641
BV1dEMJznEaw,监狱中关押着一个男人，他只是睁开双眼，便瞬间秒杀所有看管人员！,//i1.hdslb.com/bfs/archive/4185581d7fdf5edd994ae79b84c62a77540de244.jpg,2562,513253,32530,118,科幻桃小柏,77993
BV14Mx4eCEix,恐怖的韩国《衣橱》，连接着阴阳两界！,//i0.hdslb.com/bfs/archive/bd4f06a083c947f2103059ec3e9c4f00c23f9383.jpg,1587,21853706,620437,1134,小磨剪影,17976
BV1WRJTztEqy,值得所有女孩子去看的一部教育片,//i0.hdslb.com/bfs/archive/257cb8aa464e9176a35b6aed47213202db89242d.jpg,1281,2626450,104140,151,花眼猫爱吃yu,2443
BV15LTRzjEgN,吃人公寓！高分推理片《那个人消失了》：喜剧、恐怖、反转、推理、温情、纯爱....,//i1.hdslb.com/bfs/archive/b1a3f01958dc400db6cfc339403dabd7ddfdd4f2.jpg,3480,763956,374567,3870,-7ero-,426537
BV1tCHaeJEBE,根据真实故事改编，豆瓣8.8分，人生必看的高分励志电影推荐！,//i2.hdslb.com/bfs/archive/a487360a837eb3767e8afe4b823c78ee129ea51c.jpg,1414,24969877,869274,1011,谪仙电影,6249
BV14vTVzHErq,史诗级经典末日灾难电影，9.6级罕见大地震，引发了超级大海啸！,//i0.hdslb.com/bfs/archive/3738aad1ebc6ad04328f8eff2c48f6bdf253d74a.jpg,1410,890826,22158,55,5号放映室,32340
BV1iFMnzpEBw,2025最新复仇爽片《谍网追凶》，高智商天才以暴制暴，为爱狂杀生猛刺激！,//i0.hdslb.com/bfs/archive/2150383c7cd4604576de372bc5c42bf29f9aa1cd.jpg,1325,516134,97464,187,犯叔说影,94183
BV1EiVgz1ESX,一口气看完《误杀3》,//i2.hdslb.com/bfs/archive/50895b16c8b303f94978141e4cb3b8f532502101.jpg,2047,3980677,29362,9,茜茜不爱吃菜菜,37665
BV1e4ktY7ELo,国产神作！不看到最后一秒钟，你绝对猜不到故事结局！,//i0.hdslb.com/bfs/archive/7de7a4238aa58d288bd2b9112f8b2ae9dd40fbb4.jpg,2676,15366454,311861,788,热铁别摸,295479
BV13eT4z8EVP,一部超级治愈的法国电影，太太太好看了！！,//i0.hdslb.com/bfs/archive/2ce92104e5e4dec26c3ea0c567a06466a5df9755.jpg,842,1020912,174813,240,白又白说,119775
BV1JEMGzMER5,2025最新复仇爽片《坚守阵地》，孕妻惨死一尸两命，丈夫出狱后血洗仇敌,//i2.hdslb.com/bfs/archive/46ab2efb578c768e26a09806dcf2968b228787a8.jpg,1112,602166,40641,141,犯叔说影,94183
BV1WQQyYqEyZ,【西门】这个日本片有毒，R18级，影视区居然没有一个人敢讲！,//i2.hdslb.com/bfs/archive/77faf7dd400421621bfa33fd501d72773e6fac9e.jpg,988,7777286,560006,895,来呀官人,929947
BV1uvJAzREVf,2025韩国最新动作爽剧《鲨鱼：风暴》，弱小男生惨遭霸凌，竟逆袭成为格斗冠军,//i2.hdslb.com/bfs/archive/cbe878b216f6df9639a2ee1ae9b5672bc79b62d4.jpg,1346,2677076,143286,233,犯叔说影,94183
BV12yTKzwEto,推荐一部炸裂你三观的高分电影《阿德尔曼夫妇》，法国人的爱情和婚姻观，又一次刷新了我的认知，剧情虽然狗血和荒诞，但却彻彻底底道出了婚姻的真相！,//i2.hdslb.com/bfs/archive/71f7bde141b6d6da2f16bd22f10b9454c9729533.jpg,1674,949387,71419,18,一片优雅的叶子,17020
BV1oZ421T7XS,豆瓣评分8.6，第十四届亚洲电影最佳电影，大陆至今未公映的电影，有点压抑，不喜慎看……,//i1.hdslb.com/bfs/archive/99ca196020ae6b6395b4f0e369ea07eb6db5bca9.jpg,2453,27474686,1323261,8367,7块电影,671732
BV1ggSBYsEaM,恐怖惊悚片 一个远古鬼魂成了变态色魔 所有女人都逃不脱他的魔抓。,//i1.hdslb.com/bfs/archive/136cf4affa183dfb920e4bff13e5cb885bd5c590.jpg,719,19599778,117935,44,辛辣追影,6347
BV1adTtzPE6g,本以为是恐怖片，没想到是抗日片，每个国家都有自己的抗日片，电影京城怪物,//i2.hdslb.com/bfs/archive/b2f60d7d956847662f1a56da21722a9611633e05.jpg,3118,1001763,96066,238,染月解说,1836
BV1d8fZYyEGk,本能之诱惑，谁人能抵抗！满屏都是欲望，爆剪了14次才过审！一口气看完《本能》,//i0.hdslb.com/bfs/archive/b1eb187cc26524776252ca78c90caad61cc26a0c.jpg,1437,12337228,12058,4,高分电影解说Flims,14616
BV1sSTQzxEyr,万字精讲《翻译疑云》丨被片名耽误的好片，无限反转到最后一秒,//i2.hdslb.com/bfs/archive/f3cb5160266833e8bab518f37c448fd7d08eed41.jpg,1535,772424,59178,187,电影有罗辑,270279
BV1MF411j781,生化病毒全面爆发！科幻恐怖电影的巅峰之作《杀出狂人镇》,//i0.hdslb.com/bfs/archive/edeec887f0848fc692459ad308f09b9b08be3292.jpg,876,97035771,831245,2600,拾光见影,222725
BV179M7zUE6F,68年前的抗日“神片”，英国上校被俘后沦为战争帮凶！《桂河大桥》,//i2.hdslb.com/bfs/archive/25eed9abc6efa5620e80d6ba79f2173f85df0d04.jpg,1798,517898,300929,2173,阿斗归来了,6954866
BV1gZTNzeEpA,一口气看完 2025复仇爽剧《神探莎拉》,//i1.hdslb.com/bfs/archive/e0e58e4434ac67ea23c7e5dbacea4e0ce6071e2b.jpg,2845,973592,42087,60,剧梗之王解说版,10332
BV1aRJ6ziEEG,【高分佳作 详细解读】“我”被寄养的那个夏天 又是一个发生在平凡日子的治愈故事,//i1.hdslb.com/bfs/archive/4364182a79ca5ae446b907fed6eb84f9cf01840b.jpg,1852,1900298,69733,92,糖即可得的B站,17169
BV1UhT1z5E7V,看过百遍还能有新梗？深度解读港影巅峰之作《九品芝麻官》P7大结局！,//i0.hdslb.com/bfs/archive/c8b9574d2935ba75105a4a101ab08e3d890ee2e6.jpg,3518,798698,828097,6653,食影双修,770549
BV1d978zzEmq,一口气看完真实事件改编的励志电影《奋斗的乔伊》人生若蝉，蛰伏多年总要给自己一个完整的答案,//i2.hdslb.com/bfs/archive/aea4b1b8273e3cb3590cad1e42e6c8633ffa2006.jpg,927,1227121,14447,7,爱吃的叶子吖,4610
BV1MP6JY5Ehj,【阿奇】一口气看完2024年末日惊悚片《大地永存》：未知病毒来袭，全球人口锐减99%,//i2.hdslb.com/bfs/archive/aa404e6e42d99b791457307e40ca44145eb3a269.jpg,2599,14514842,678225,2615,阿奇讲电影,249938
BV15qzLY3Efn,一口气看完网飞19禁神剧《一箱情缘》全集解说！孔刘贡献生猛尺度！全程高能！,//i1.hdslb.com/bfs/archive/cc5c9952f6f7ac8b2cd94071e25c955b7540c7ee.jpg,1816,17244822,540031,462,黑色脑回路,501083
BV1A14y1p7Ak,【假装讲电影】全程爆笑！韩国票房冠军！为了3000万彩票！男子潜入朝鲜军队！,//i1.hdslb.com/bfs/archive/e8e7ca43ec039d23f8f33ec80e19470706fa7609.jpg,1070,81216698,5221212,11560,假装讲电影,2150195
BV1iPMmzeEQc,无声杀人来去自如，凶手本以为做的毫无破绽，却在最终一刻被识破！,//i1.hdslb.com/bfs/archive/384be127cfc051fccbc41a8500ed70e73e514f7b.jpg,1161,253144,34890,107,悬疑迷小冬,75744
BV1tnVgzdE4K,俗套？全裸？女权？撕开大尺度的外衣！直视人性！——《阿诺拉》,//i1.hdslb.com/bfs/archive/04e21b7b50bd6f2ccb457825f3dcb012cfa151c2.jpg,1415,3973898,547130,725,影岛阿蛙,170156
BV1FEVVzREaM,名场面无数！一个月花光10亿？短剧都不敢这么拍！《西虹市首富》,//i1.hdslb.com/bfs/archive/98c63d8bc250d55f3ccb4f31c42eaecddab63774.jpg,3156,3883598,346420,1736,巧克力味的猪肘,280139
BV1TS7bzWEAt,男人拥有超神之力，能够言出法随，一人之力足以对抗整支军队！,//i1.hdslb.com/bfs/archive/e2bf9a917a3db5806c8cecfa80e7323bc00613b3.jpg,3539,1210833,107242,194,科幻桃小柏,77993
BV131VBzVEKv,每天一部好电影《误杀 3》,//i2.hdslb.com/bfs/archive/c422bc3c9e213af9505f75789323259c460f7d88.jpg,2041,3733319,30312,11,撒欢儿影视,1776
BV1JyrLYWEzk,“我老公睡了你老婆，你如果要报仇，那我让你睡好了”，温碧霞早年炸裂电影《惊变》,//i2.hdslb.com/bfs/archive/69ea79d448ed0d5de8ea31c8e4a385e8e48fd8c1.jpg,970,13984262,144467,121,密解说电影,4328
BV11C41187pa,【阿斗】真实事件翻拍，韩国总统也敢黑？没看过比这更大胆的电影！2023韩国票房冠军《首尔之春》,//i0.hdslb.com/bfs/archive/d2d918b09844d973a77d87dacd821f68dd9c53c5.jpg,1961,40261598,3520224,14613,阿斗归来了,6954866
BV13CTYzmEUu,杜琪峰北上的第一部作品《毒战》号称“尺度最大的国产警匪片”,//i1.hdslb.com/bfs/archive/65ce04cf0bbca12267d4de67c3e4c06ea99077bf.jpg,2019,689433,26409,18,幻影猫鹰,614
