bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1mLTxzXEEy,【2025版】这绝对是B站讲的最好的AI大模型应用开发全流程实战教程， 全程干货无废话，学完即就业！学不会我退出AI圈！！！,//i0.hdslb.com/bfs/archive/f85c8765379df3a1ca9c1639c619957bfde19718.jpg,778:29,988962,5789,64,AI入门101,33852
BV1w5MczGENM,我找到了世界上最逆天的3D生成AI大模型！但是...  【AI应用面对面丨系列视频播客 EP03丨Tripo】,//i1.hdslb.com/bfs/archive/1ada0404841132df83cd5dcb66862107a53ef317.jpg,25:57,370389,413293,17,GenJi是真想教会你,2980826
BV1JCjdzJEBY,AI视频超神了？花1800实测谷歌Veo3到底有多强！,//i2.hdslb.com/bfs/archive/3e49950553439e124ac485a3f4dfbb3ea373916a.jpg,7:54,1764654,110418,464,秋芝2046,527447
BV1cHN8zEE1T,印度博主测试经常靠AI解答会不会让智力下降,//i2.hdslb.com/bfs/archive/53dd89dd899b0834854a15765563ff9be719e002.jpg,18:45,3211,35,0,YouTube小呆,2836
BV1kKTVz3EU5,【4K】AI生成《龙珠大电影：超级赛亚人传说对决》真人概念预告片 | 作者：Fifth District Studio,//i2.hdslb.com/bfs/archive/dbb0ffca8cb1bfcba26ead982d1ae6862d49056b.jpg,4:6,838701,667348,1324,KG-Area21,1037777
BV1BgMJzdERe,【coze实操教程】coze工作流AI一键生成爆款历史解说类视频，全自动3分钟一键生成视频，无需人工干预，小白保姆级教程！【AI、智能体、人工智能、智能体】,//i2.hdslb.com/bfs/archive/0e539e6d7fd32a08b54ee7e63ad192714df2bd37.jpg,23:33,461241,2501,70,AI小课堂888,1356
BV1iK7DzAESv,10分钟AI历史题材电影《忠魂》，100%AI生成！爆肝半个月！,//i2.hdslb.com/bfs/archive/dccba3d61b30e1b25019810f08db5aa4241226c9.jpg,9:15,1239280,19025,69,玩AI的小笼包,318
BV18w4m1a7mY,次元破壁！当我用AI制作《海贼王》真人版,//i1.hdslb.com/bfs/archive/aac19d58af870ad99dfb70bb782971e7adfcd1b7.jpg,1:43,29407827,286687,447,燕朝寒,11383
BV1aJTrzKEwj,Ilya Sutskever 最新毕业演讲：我们正处在人类史上最不寻常的时代，AI 终将无所不能，你的未来无法逃避,//i1.hdslb.com/bfs/archive/abed2fe1f53f4a49b20b2a047f386f16a64faf77.jpg,10:6,582802,3734,1,宝玉xp,19079
BV1bvdHYREib,ChatGPT 4o 最新版！生图效果炸裂，堪称魔法！角色一致性大提升，实测堪比顶级绘师！！| 零度解说,//i1.hdslb.com/bfs/archive/e719994925bfea7ee45d6d118d042fd3bec7f540.jpg,9:4,5905288,141251,161,零度解说,249280
BV1Zz4y1W7nD,海琴烟，白色比基尼，超性感,//i1.hdslb.com/bfs/archive/6412bfa1842fc8a2f7c0ad26110c5f8fd48d6f8d.jpg,2:35,59124599,23717,1,囧次元无广告,47447
BV1xVTYzMETr,AI正在重塑高考规则丨对话李永乐 x 田密（上）,//i1.hdslb.com/bfs/archive/46b131e2a45c23e023c6adc5274a4f95824f5b55.jpg,22:59,666342,46798,9,赛博对话,1517
BV1MiTfzEECg,答辩还是神作？AI挑战今年最抽象的高考作文题,//i0.hdslb.com/bfs/archive/45c53b496214200a7dc81770f3a8cb07a905c384.jpg,141:40,390854,216901,390,图灵的猫,1095365
BV1iSGbzREnd,不为人知的AI真神！Ilya Sutskever！,//i0.hdslb.com/bfs/archive/b4bc9437b2ebf38897d17eb152d11615cc41ac70.jpg,19:25,4092898,271492,560,林亦LYi,1134112
BV1qyMizqE6v,【全68集】2025B站最全的AI视频全套教程！从剧本生成到视频制作全流程讲解！零基础小白适用！学完直接变现！（附工具）,//i0.hdslb.com/bfs/archive/0de8831eac047e72ea9a229629503150b8ddb9ee.png,83:46,40966,1077,5,B站AI绘画,3920
BV1uw7Bz7Ehr,【罗翔】AI时代，文科一败涂地？拥有海量的知识会让人更幸福吗？,//i0.hdslb.com/bfs/archive/993b2273e099e6681f241a293d1fbe328623038e.jpg,7:58,1014688,1047736,915,罗翔说刑法,32036389
BV1fwJJzHE7W,太炸裂！GPT 4o+即梦免费生成AI动画视频！AI视频制作教程零基础入门，史上最快AI视频生成软件！,//i2.hdslb.com/bfs/archive/db2a388cd26689386fb1f9dbe5d961b784afb7cf.jpg,9:8,2199689,9976,127,AIGC官方视频,94235
BV1H6TrzQEKP,【全68集】2025 最新发布！即梦AI3.0独家保姆级教程来啦！AI绘画+图生视频+脚本+剪辑完整流程详解！设计师必学的首款AI软件，按头就能学会,//i2.hdslb.com/bfs/archive/95405f0a67f7b10815014676beeebad70780c416.png,199:54,587285,2622,107,小雨Ai绘画日记,565
BV1xhNbzpEsN,烧钱的【Veo 3】AI生成短片（12段视频，含关键词 Prompts),//i0.hdslb.com/bfs/archive/89d6699bcceff1b32119c060a1a3bba1d22b2d02.jpg,2:30,27334,96,0,镜花缘Q,2121
BV1vyTtzrEW2,翻遍B站！这绝对是最全最细的大模型AI Agent入门到精通的实战教程！手把手带你搭建自己的智能体！纯小白都能学会的教程！干货拉满,//i2.hdslb.com/bfs/archive/896ae64f3d137d5e81a276d93df1822d2cc8ff16.jpg,1315:27,979938,49763,1253,Agent开发,259
BV15vMqzYENY,【得能勇志AI】被前男友偷拍sex视频并威胁了｜含微恐/强制/盗摄，自行避雷,//i0.hdslb.com/bfs/archive/501ce61801129cc864fe8ee27dff1e76b5a07ee7.jpg,2:44,50102,1124,0,梓沐AMi_iN,1249
BV1NKMGzjEwe,效果惊艳！即梦AI视频3.0新版首尾帧测试，新旧差距有多大？,//i0.hdslb.com/bfs/archive/b1a43db10991004c028f6363c64be805cbdcaec3.jpg,5:45,557381,1979,0,阿酷与阿禾,50
